CMYK-Advanced Target Solvent
LGOROWLENGTH	"21"
ORIGINATOR	"ColorGATE"
DESCRIPTOR	"CMYK-Advanced Target Solvent"
KEYWORD	"INFO"
INFO	"Linearization target for solvent printers with an accurate characteristic in the ranges 0..30% and 80..100%."
INSTRUMENTATION	"Barbieri Spectro LFP"
KEYWORD	"ILLUMINATION_NAME"
ILLUMINATION_NAME	"D50"
KEYWORD	"OBSERVER_ANGLE"
OBSERVER_ANGLE	"2"
NUMBER_OF_FIELDS	"42"
NUMBER_OF_SETS	"84"
BEGIN_DATA_FORMAT
SAMPLE_ID	SAMPLE_NAME	CMYK_C	CMYK_M	CMYK_Y	CMYK_K	SPECTRAL_NM_380	SPECTRAL_NM_390	SPECTRAL_NM_400	SPECTRAL_NM_410	SPECTRAL_NM_420	SPECTRAL_NM_430	SPECTRAL_NM_440	SPECTRAL_NM_450	SPECTRAL_NM_460	SPECTRAL_NM_470	SPECTRAL_NM_480	SPECTRAL_NM_490	SPECTRAL_NM_500	SPECTRAL_NM_510	SPECTRAL_NM_520	SPECTRAL_NM_530	SPECTRAL_NM_540	SPECTRAL_NM_550	SPECTRAL_NM_560	SPECTRAL_NM_570	SPECTRAL_NM_580	SPECTRAL_NM_590	SPECTRAL_NM_600	SPECTRAL_NM_610	SPECTRAL_NM_620	SPECTRAL_NM_630	SPECTRAL_NM_640	SPECTRAL_NM_650	SPECTRAL_NM_660	SPECTRAL_NM_670	SPECTRAL_NM_680	SPECTRAL_NM_690	SPECTRAL_NM_700	SPECTRAL_NM_710	SPECTRAL_NM_720	SPECTRAL_NM_730
END_DATA_FORMAT
BEGIN_DATA
97	Yellow_50	0	0	50.2	0	0.1248	0.1218	0.1273	0.1366	0.1448	0.1479	0.1505	0.154	0.1582	0.1669	0.2066	0.3346	0.5406	0.7228	0.8143	0.8432	0.8508	0.8519	0.8477	0.8471	0.8432	0.8414	0.8415	0.8437	0.8478	0.853	0.86	0.8684	0.8774	0.8853	0.8926	0.8978	0.9034	0.9081	0.9107	0.9144
98	Yellow_55	0	0	54.9	0	0.08775	0.08363	0.08447	0.08847	0.09263	0.09397	0.09541	0.09788	0.1008	0.1081	0.1417	0.2629	0.4794	0.6874	0.799	0.8365	0.8469	0.849	0.8454	0.845	0.8416	0.8397	0.84	0.8423	0.8462	0.8513	0.8581	0.8662	0.8752	0.8827	0.8898	0.8947	0.9002	0.905	0.9075	0.911
99	Yellow_60	0	0	60	0	0.06226	0.05608	0.05508	0.05642	0.05834	0.05866	0.05922	0.06049	0.06269	0.06832	0.0951	0.2046	0.4235	0.6522	0.7832	0.8297	0.8433	0.8466	0.8433	0.8433	0.84	0.8383	0.8386	0.8408	0.8448	0.8496	0.8562	0.8641	0.8728	0.8802	0.8869	0.8917	0.897	0.9013	0.9036	0.9072
100	Yellow_65	0	0	65.1	0	0.04504	0.04017	0.03881	0.03924	0.04034	0.04052	0.04081	0.04153	0.04308	0.04692	0.06568	0.1563	0.3655	0.6097	0.762	0.8199	0.8376	0.8423	0.8396	0.8398	0.8366	0.8351	0.8355	0.8379	0.842	0.8471	0.8538	0.8619	0.8707	0.8782	0.885	0.8899	0.8954	0.8997	0.902	0.9054
101	Yellow_70	0	0	70.2	0	0.03494	0.03104	0.02877	0.02989	0.03077	0.0307	0.03069	0.03069	0.03158	0.03423	0.04615	0.1163	0.3073	0.5579	0.7277	0.7961	0.8178	0.8239	0.8216	0.8217	0.8187	0.8173	0.8176	0.82	0.824	0.8292	0.836	0.8442	0.8531	0.8606	0.8678	0.8728	0.8785	0.8831	0.8856	0.889
102	Yellow_75	0	0	74.9	0	0.02664	0.02418	0.0221	0.02332	0.02439	0.02432	0.02421	0.02403	0.02475	0.0267	0.0339	0.08647	0.2599	0.5175	0.7071	0.7876	0.8143	0.8222	0.8208	0.8213	0.8185	0.817	0.8173	0.8195	0.8235	0.8283	0.8349	0.8428	0.8514	0.8586	0.8654	0.8703	0.8758	0.8801	0.8827	0.8859
103	Yellow_80	0	0	80	0	0.02238	0.02093	0.01896	0.02048	0.02148	0.0217	0.02172	0.02143	0.02164	0.0234	0.02763	0.06463	0.215	0.4727	0.682	0.7773	0.8102	0.8205	0.8201	0.8212	0.8186	0.8173	0.8176	0.8199	0.8239	0.8289	0.8356	0.8436	0.8523	0.8595	0.8663	0.8711	0.8766	0.8808	0.883	0.8861
105	Yellow_85	0	0	85.1	0	0.01813	0.01833	0.01689	0.01845	0.02007	0.0202	0.0203	0.02012	0.02055	0.02202	0.02485	0.04987	0.1758	0.4279	0.6553	0.7664	0.8067	0.8197	0.8203	0.8219	0.8193	0.8182	0.8186	0.821	0.8252	0.8304	0.8372	0.8454	0.8543	0.8617	0.8686	0.8738	0.8792	0.8834	0.8856	0.8889
110	Yellow_90	0	0	90.2	0	0.02051	0.01958	0.01818	0.01983	0.02057	0.02109	0.02117	0.02065	0.02136	0.02283	0.02498	0.04248	0.1469	0.3904	0.6352	0.764	0.8134	0.83	0.8322	0.8346	0.8332	0.8324	0.8331	0.8354	0.8394	0.844	0.8506	0.8583	0.8665	0.8733	0.8793	0.8843	0.8898	0.8935	0.8952	0.8979
115	Yellow_95	0	0	94.9	0	0.01874	0.0187	0.01762	0.0189	0.01995	0.02038	0.02062	0.02051	0.02105	0.02227	0.02438	0.03801	0.1272	0.3586	0.6112	0.7523	0.8078	0.827	0.8299	0.8325	0.8313	0.8305	0.8311	0.8337	0.8379	0.8428	0.8495	0.8573	0.8658	0.8731	0.8794	0.8844	0.8902	0.8945	0.896	0.8991
120	Yellow_100	0	0	100	0	0.02042	0.01935	0.01826	0.01946	0.02074	0.02084	0.02089	0.02053	0.0208	0.02226	0.02427	0.0357	0.1132	0.3331	0.591	0.7431	0.8052	0.8269	0.8307	0.834	0.833	0.8327	0.8335	0.8359	0.8402	0.8449	0.8516	0.8594	0.8675	0.8748	0.8811	0.8862	0.8922	0.8963	0.8979	0.9007
121	Black_0	0	0	0	0	0.4731	0.5237	0.628	0.751	0.8503	0.8929	0.9056	0.9083	0.9099	0.9089	0.9041	0.8975	0.8888	0.881	0.8756	0.8707	0.867	0.8635	0.8565	0.8543	0.8497	0.8472	0.8465	0.848	0.8519	0.8566	0.8633	0.8716	0.88	0.8877	0.8945	0.8997	0.906	0.9102	0.9121	0.9151
124	Black_5	0	0	0	5.1	0.3679	0.4101	0.4924	0.588	0.6658	0.7022	0.7159	0.721	0.7249	0.7257	0.7227	0.719	0.7137	0.7062	0.6999	0.6979	0.6969	0.6891	0.6781	0.6786	0.6808	0.6826	0.6828	0.6841	0.6885	0.6944	0.7029	0.7138	0.7252	0.7341	0.7398	0.743	0.7455	0.748	0.7526	0.7625
127	Black_10	0	0	0	10.98	0.293	0.3306	0.3961	0.4726	0.5347	0.5648	0.5789	0.5856	0.5906	0.5924	0.5906	0.5889	0.5863	0.5797	0.5732	0.5728	0.5737	0.5643	0.5516	0.5536	0.5596	0.5634	0.564	0.565	0.5701	0.5775	0.5872	0.5999	0.6137	0.6239	0.6299	0.6326	0.6339	0.6356	0.6426	0.6582
129	Black_15	0	0	0	14.9	0.2552	0.2905	0.348	0.4146	0.469	0.4968	0.5107	0.5174	0.5229	0.5251	0.5239	0.5232	0.5219	0.5159	0.5094	0.5093	0.5107	0.5001	0.4856	0.4873	0.494	0.4978	0.4978	0.498	0.5027	0.5099	0.5197	0.5331	0.5473	0.5578	0.563	0.5645	0.564	0.5641	0.5717	0.5906
131	Black_20	0	0	0	20	0.2138	0.2437	0.293	0.3489	0.3949	0.4192	0.4319	0.4391	0.4447	0.4474	0.4469	0.4472	0.447	0.4418	0.4352	0.4363	0.4384	0.4271	0.4123	0.4144	0.4221	0.4263	0.4262	0.4262	0.4306	0.4375	0.4473	0.4607	0.4754	0.4857	0.4899	0.4902	0.488	0.4871	0.4957	0.5167
132	Black_25	0	0	0	25.1	0.1796	0.2066	0.2484	0.294	0.3325	0.3543	0.3659	0.3734	0.379	0.3814	0.3816	0.3821	0.3826	0.3777	0.3711	0.3727	0.3752	0.3635	0.3487	0.3513	0.3599	0.3645	0.3642	0.3641	0.3683	0.3755	0.3852	0.3987	0.4136	0.4238	0.4277	0.4274	0.4248	0.4233	0.4325	0.4547
133	Black_30	0	0	0	30.2	0.1541	0.1783	0.2143	0.2516	0.2846	0.3035	0.3144	0.3214	0.3268	0.3293	0.3295	0.3304	0.3309	0.3262	0.3198	0.3214	0.3244	0.3128	0.2982	0.3008	0.3094	0.3141	0.3137	0.3133	0.3172	0.3242	0.3336	0.3469	0.3616	0.3715	0.375	0.3745	0.3713	0.3696	0.3791	0.4019
134	Black_35	0	0	0	34.9	0.1335	0.1535	0.184	0.2169	0.2457	0.2624	0.2723	0.2787	0.2836	0.2858	0.2859	0.2866	0.2874	0.2826	0.276	0.2777	0.2804	0.2687	0.2544	0.2569	0.2654	0.2699	0.2695	0.2687	0.2723	0.279	0.2879	0.3007	0.315	0.3245	0.3279	0.3269	0.3234	0.3215	0.3309	0.354
135	Black_40	0	0	0	40	0.1073	0.1271	0.154	0.1817	0.2063	0.2211	0.2303	0.2357	0.2399	0.2422	0.242	0.2426	0.2434	0.2386	0.2319	0.2336	0.2365	0.225	0.2111	0.2137	0.2224	0.2269	0.2264	0.2256	0.2289	0.2352	0.2436	0.2559	0.2696	0.2785	0.2812	0.2802	0.2764	0.2742	0.2834	0.306
136	Black_45	0	0	0	45.1	0.08964	0.1053	0.13	0.1535	0.1745	0.1878	0.1959	0.2011	0.205	0.2068	0.2063	0.2068	0.2076	0.2029	0.1964	0.1982	0.2008	0.1896	0.1763	0.1788	0.1871	0.1915	0.1907	0.1898	0.1927	0.1985	0.2065	0.2181	0.231	0.2395	0.242	0.2405	0.2366	0.2344	0.2433	0.2659
137	Black_50	0	0	0	50.2	0.07168	0.08577	0.1061	0.1269	0.1439	0.1546	0.1618	0.1668	0.1704	0.1719	0.1711	0.1714	0.1719	0.1675	0.1611	0.1627	0.1652	0.1545	0.1421	0.1445	0.1525	0.1565	0.1558	0.1546	0.1573	0.1627	0.1701	0.1809	0.1931	0.2011	0.2034	0.202	0.198	0.1961	0.2047	0.2265
138	Black_55	0	0	0	54.9	0.05833	0.07005	0.08726	0.1041	0.1187	0.1279	0.1341	0.1383	0.1413	0.1426	0.1421	0.1423	0.143	0.1388	0.133	0.1346	0.1369	0.127	0.1157	0.1182	0.1258	0.1296	0.1289	0.1278	0.1301	0.1349	0.1418	0.1518	0.1629	0.1703	0.1722	0.1708	0.1672	0.1652	0.1733	0.194
139	Black_60	0	0	0	60	0.04423	0.05349	0.06707	0.08011	0.09145	0.09902	0.1041	0.1078	0.1103	0.1114	0.1108	0.1111	0.1117	0.1081	0.1029	0.1045	0.1066	0.09789	0.08828	0.09071	0.09769	0.1012	0.1006	0.09951	0.1014	0.1055	0.1114	0.1201	0.1298	0.1362	0.1378	0.1363	0.1328	0.131	0.1385	0.1572
140	Black_65	0	0	0	65.1	0.03433	0.04224	0.05231	0.06247	0.07161	0.07784	0.08209	0.08513	0.0873	0.08831	0.08785	0.08809	0.08859	0.08544	0.08101	0.08237	0.08421	0.07682	0.06881	0.07085	0.07662	0.0795	0.07883	0.07779	0.07927	0.08279	0.08794	0.0955	0.1039	0.1094	0.1106	0.109	0.1059	0.1046	0.1114	0.1281
141	Black_70	0	0	0	70.2	0.02208	0.02952	0.03789	0.04553	0.05213	0.05724	0.06059	0.06273	0.06446	0.0651	0.06458	0.06479	0.06509	0.0623	0.05863	0.05961	0.06128	0.05506	0.04852	0.05032	0.05509	0.05738	0.05675	0.05579	0.05699	0.05987	0.06416	0.0704	0.07752	0.08223	0.08309	0.08158	0.07861	0.07748	0.08339	0.09822
142	Black_75	0	0	0	74.9	0.01689	0.02178	0.02818	0.03311	0.03788	0.04189	0.04441	0.04635	0.04767	0.04807	0.04751	0.04767	0.04807	0.04576	0.04276	0.04361	0.04498	0.03987	0.03461	0.03605	0.04	0.04183	0.04119	0.0404	0.04144	0.04374	0.0472	0.05232	0.05823	0.06211	0.06275	0.06148	0.05876	0.05752	0.06262	0.07548
143	Black_80	0	0	0	80	0.01288	0.01662	0.02169	0.02557	0.02862	0.0311	0.03341	0.03454	0.03541	0.03566	0.03511	0.03501	0.03508	0.03326	0.03079	0.03137	0.03257	0.02848	0.02439	0.02577	0.02905	0.03054	0.03002	0.0294	0.03018	0.03188	0.03462	0.03869	0.04351	0.04658	0.047	0.04591	0.04368	0.0431	0.04735	0.05804
145	Black_85	0	0	0	85.1	0.008639	0.01287	0.01682	0.01817	0.01984	0.02188	0.02338	0.02429	0.02508	0.02497	0.02454	0.02446	0.02451	0.02306	0.02114	0.02157	0.02242	0.01926	0.01644	0.01741	0.01968	0.02071	0.02024	0.01967	0.02007	0.02135	0.02326	0.02619	0.02984	0.03209	0.03236	0.03143	0.02973	0.02905	0.03234	0.04106
150	Black_90	0	0	0	90.2	0.004288	0.009364	0.01223	0.01173	0.01232	0.01363	0.01397	0.0143	0.01472	0.01472	0.01431	0.0142	0.01418	0.01321	0.01211	0.01244	0.01284	0.0109	0.009433	0.01024	0.01163	0.01226	0.01191	0.01142	0.01162	0.01233	0.0135	0.01516	0.01727	0.0188	0.01879	0.01806	0.01716	0.01679	0.01909	0.02496
155	Black_95	0	0	0	94.9	0.003135	0.005158	0.006183	0.006071	0.006943	0.007441	0.007192	0.007334	0.007233	0.006974	0.006752	0.006666	0.006557	0.006005	0.005678	0.005701	0.005924	0.005254	0.004807	0.005175	0.005598	0.005816	0.005675	0.005549	0.005551	0.005666	0.006175	0.006695	0.007363	0.007967	0.008011	0.007788	0.007259	0.00733	0.008352	0.0107
160	Black_100	0	0	0	100	0.004273	0.004891	0.00504	0.004812	0.004611	0.004958	0.004862	0.004645	0.004411	0.004304	0.004136	0.004057	0.003918	0.003714	0.0037	0.003564	0.003552	0.003331	0.003399	0.00359	0.003686	0.003643	0.003611	0.003569	0.003618	0.003503	0.003519	0.003455	0.003576	0.003769	0.003725	0.003517	0.003533	0.003805	0.00409	0.004772
END_DATA
