CMYK-Advanced Target Solvent
LGOROWLENGTH	"21"
ORIGINATOR	"ColorGATE"
DESCRIPTOR	"CMYK-Advanced Target Solvent"
KEYWORD	"INFO"
INFO	"Linearization target for solvent printers with an accurate characteristic in the ranges 0..30% and 80..100%."
INSTRUMENTATION	"Barbieri Spectro LFP"
KEYWORD	"ILLUMINATION_NAME"
ILLUMINATION_NAME	"D50"
KEYWORD	"OBSERVER_ANGLE"
OBSERVER_ANGLE	"2"
NUMBER_OF_FIELDS	"42"
NUMBER_OF_SETS	"84"
BEGIN_DATA_FORMAT
SAMPLE_ID	SAMPLE_NAME	CMYK_C	CMYK_M	CMYK_Y	CMYK_K	SPECTRAL_NM_380	SPECTRAL_NM_390	SPECTRAL_NM_400	SPECTRAL_NM_410	SPECTRAL_NM_420	SPECTRAL_NM_430	SPECTRAL_NM_440	SPECTRAL_NM_450	SPECTRAL_NM_460	SPECTRAL_NM_470	SPECTRAL_NM_480	SPECTRAL_NM_490	SPECTRAL_NM_500	SPECTRAL_NM_510	SPECTRAL_NM_520	SPECTRAL_NM_530	SPECTRAL_NM_540	SPECTRAL_NM_550	SPECTRAL_NM_560	SPECTRAL_NM_570	SPECTRAL_NM_580	SPECTRAL_NM_590	SPECTRAL_NM_600	SPECTRAL_NM_610	SPECTRAL_NM_620	SPECTRAL_NM_630	SPECTRAL_NM_640	SPECTRAL_NM_650	SPECTRAL_NM_660	SPECTRAL_NM_670	SPECTRAL_NM_680	SPECTRAL_NM_690	SPECTRAL_NM_700	SPECTRAL_NM_710	SPECTRAL_NM_720	SPECTRAL_NM_730
END_DATA_FORMAT
BEGIN_DATA
19	Cyan_60	60	0	0	0	0.1073	0.2103	0.3504	0.4799	0.5756	0.6526	0.7321	0.7845	0.8014	0.8017	0.7877	0.761	0.7216	0.6621	0.5766	0.4688	0.3491	0.2301	0.1285	0.06822	0.04037	0.02834	0.02112	0.01712	0.01686	0.01856	0.02235	0.03055	0.04211	0.04881	0.04628	0.03946	0.03116	0.02679	0.03478	0.06698
20	Cyan_65	65.1	0	0	0	0.08495	0.1792	0.3138	0.4408	0.5348	0.6154	0.7031	0.7627	0.7817	0.7815	0.7651	0.734	0.6885	0.6215	0.5283	0.416	0.2969	0.1836	0.09283	0.04373	0.02371	0.01604	0.01181	0.009708	0.009624	0.01048	0.01257	0.01744	0.02454	0.0288	0.02713	0.02271	0.01764	0.01544	0.02096	0.04444
21	Cyan_70	70.2	0	0	0	0.06548	0.1472	0.2731	0.3925	0.4817	0.5642	0.66	0.7267	0.7485	0.7485	0.7295	0.6935	0.6419	0.5676	0.4685	0.3546	0.2403	0.1381	0.06274	0.02628	0.01327	0.008834	0.006595	0.005584	0.005579	0.006051	0.007083	0.009635	0.01371	0.01623	0.01525	0.01261	0.009854	0.008872	0.01232	0.02786
22	Cyan_75	74.9	0	0	0	0.04911	0.119	0.2366	0.3518	0.4381	0.5227	0.628	0.7033	0.7278	0.7277	0.7061	0.6656	0.608	0.5266	0.4202	0.3033	0.1922	0.1002	0.03962	0.01454	0.007094	0.004998	0.004078	0.003701	0.003728	0.003907	0.004249	0.005382	0.007366	0.008583	0.008188	0.006823	0.005702	0.005543	0.007439	0.01653
23	Cyan_80	80	0	0	0	0.03653	0.09356	0.2012	0.3101	0.3921	0.4789	0.5936	0.6767	0.7039	0.7032	0.6784	0.6326	0.5691	0.4815	0.3706	0.254	0.1492	0.06983	0.02391	0.008056	0.004275	0.003455	0.003032	0.003019	0.003181	0.003181	0.003298	0.00372	0.004532	0.005094	0.004969	0.004421	0.004123	0.004312	0.005602	0.01065
25	Cyan_85	85.1	0	0	0	0.02666	0.07038	0.1625	0.2624	0.3404	0.4277	0.549	0.6408	0.6704	0.6696	0.6424	0.5917	0.5229	0.4302	0.3172	0.2039	0.1091	0.04471	0.01312	0.004505	0.002895	0.002597	0.002587	0.002596	0.002666	0.002739	0.002722	0.002755	0.003082	0.003369	0.003282	0.003017	0.003229	0.003515	0.004173	0.006685
30	Cyan_90	90.2	0	0	0	0.01998	0.05147	0.1304	0.2224	0.2963	0.3846	0.5135	0.612	0.6445	0.644	0.6131	0.5582	0.4848	0.3883	0.2735	0.1636	0.07871	0.02785	0.007244	0.002903	0.002378	0.002319	0.002182	0.002431	0.00254	0.002432	0.002505	0.00255	0.002685	0.002633	0.002782	0.00283	0.002896	0.003283	0.003767	0.005097
35	Cyan_95	94.9	0	0	0	0.01581	0.04026	0.1084	0.1932	0.2638	0.3516	0.484	0.5872	0.6215	0.6209	0.5886	0.5307	0.4544	0.3558	0.2411	0.1357	0.05934	0.01853	0.004599	0.002328	0.002096	0.00211	0.002066	0.002246	0.002439	0.002415	0.002371	0.002303	0.002264	0.002332	0.002436	0.002397	0.002491	0.00306	0.003523	0.004436
40	Cyan_100	100	0	0	0	0.01546	0.03345	0.08979	0.1687	0.2368	0.3236	0.4573	0.5647	0.6008	0.601	0.5674	0.5074	0.4293	0.3293	0.2155	0.1144	0.04581	0.01301	0.003531	0.002278	0.002196	0.002257	0.002279	0.002432	0.002555	0.002558	0.002456	0.002414	0.002465	0.002456	0.002503	0.002572	0.002805	0.003239	0.003574	0.004216
41	Magenta_0	0	0	0	0	0.468	0.5195	0.6226	0.7448	0.8449	0.8882	0.9007	0.9031	0.9047	0.9037	0.8993	0.893	0.8841	0.8761	0.8711	0.8665	0.8628	0.8594	0.8525	0.8501	0.8457	0.8433	0.8427	0.8442	0.848	0.8525	0.8589	0.8668	0.8751	0.8824	0.889	0.894	0.8999	0.9041	0.9058	0.9088
