CGATS.17
ORIGINATOR	"ColorGATE"
FILE_DESCRIPTOR	"CMYKOG Advanced Linearization Target"
CREATED	"2022-10-24T09:33:27+02:00"
LGOROWLENGTH	20
KEYWORD	"INFO"
INFO	"Linearization target with an accurate characteristic in the ranges 0..30% and 80..100%."
INSTRUMENTATION	"X-Rite i1Pro2"
KEYWORD	"ILLUMINATION_NAME"
ILLUMINATION_NAME	"D50"
KEYWORD	"OBSERVER_ANGLE"
OBSERVER_ANGLE	"2"
KEYWORD	"MEASURE_CONDITION"
MEASURE_CONDITION	"M0"
NUMBER_OF_FIELDS	45
NUMBER_OF_SETS	240
BEGIN_DATA_FORMAT
SAMPLE_ID	SAMPLE_NAME	PC6_1	PC6_2	PC6_3	PC6_4	PC6_5	PC6_6	SPECTRAL_NM_380	SPECTRAL_NM_390	SPECTRAL_NM_400	SPECTRAL_NM_410	SPECTRAL_NM_420	SPECTRAL_NM_430	SPECTRAL_NM_440	SPECTRAL_NM_450	SPECTRAL_NM_460	SPECTRAL_NM_470	SPECTRAL_NM_480	SPECTRAL_NM_490	SPECTRAL_NM_500	SPECTRAL_NM_510	SPECTRAL_NM_520	SPECTRAL_NM_530	SPECTRAL_NM_540	SPECTRAL_NM_550	SPECTRAL_NM_560	SPECTRAL_NM_570	SPECTRAL_NM_580	SPECTRAL_NM_590	SPECTRAL_NM_600	SPECTRAL_NM_610	SPECTRAL_NM_620	SPECTRAL_NM_630	SPECTRAL_NM_640	SPECTRAL_NM_650	SPECTRAL_NM_660	SPECTRAL_NM_670	SPECTRAL_NM_680	SPECTRAL_NM_690	SPECTRAL_NM_700	SPECTRAL_NM_710	SPECTRAL_NM_720	SPECTRAL_NM_730	IGNORESAMPLE
END_DATA_FORMAT
BEGIN_DATA
52	Magenta_25	0	25.1	0	0	0	0	0.2524	0.2945	0.3534	0.4337	0.5016	0.5032	0.4754	0.4348	0.3901	0.3477	0.3011	0.2562	0.2228	0.1904	0.1435	0.104	0.09424	0.1021	0.1021	0.1137	0.1876	0.3452	0.5221	0.6578	0.7454	0.7961	0.8248	0.8409	0.8501	0.8553	0.8592	0.8617	0.8654	0.8683	0.8697	0.8718	0
53	Magenta_30	0	30.2	0	0	0	0	0.2316	0.2732	0.3305	0.4049	0.4666	0.4661	0.4364	0.3948	0.3493	0.307	0.2606	0.2165	0.1844	0.1539	0.1108	0.07568	0.06756	0.07421	0.0741	0.08441	0.1524	0.3058	0.4864	0.6297	0.7246	0.7806	0.8123	0.8299	0.8397	0.8452	0.8492	0.8517	0.8552	0.8584	0.8593	0.861	0
54	Magenta_35	0	34.9	0	0	0	0	0.2183	0.2572	0.3139	0.3837	0.442	0.4395	0.4089	0.367	0.3214	0.2789	0.233	0.19	0.159	0.1296	0.08972	0.05838	0.05119	0.05689	0.05696	0.06619	0.1298	0.2809	0.4662	0.6178	0.7206	0.7823	0.8177	0.8373	0.8482	0.8542	0.8585	0.861	0.865	0.8682	0.8696	0.8725	0
55	Magenta_40	0	40	0	0	0	0	0.1988	0.2362	0.2921	0.3604	0.4151	0.4113	0.3804	0.3384	0.2926	0.2503	0.2053	0.1635	0.1338	0.1066	0.07039	0.04324	0.03715	0.04185	0.04192	0.04988	0.1075	0.2532	0.4398	0.5972	0.7067	0.7736	0.8124	0.8337	0.8456	0.8519	0.8566	0.8596	0.8638	0.8671	0.8683	0.8714	0
56	Magenta_45	0	45.1	0	0	0	0	0.1834	0.2176	0.2724	0.3383	0.3913	0.3872	0.3555	0.3127	0.2673	0.2255	0.1815	0.1411	0.1129	0.08753	0.05523	0.03211	0.02707	0.03074	0.03084	0.03779	0.08952	0.2289	0.4158	0.5784	0.694	0.7663	0.8084	0.8318	0.8448	0.8519	0.857	0.8601	0.8644	0.8682	0.8694	0.8728	0
57	Magenta_50	0	50.2	0	0	0	0	0.1697	0.2048	0.2579	0.3197	0.3689	0.3633	0.3314	0.2888	0.2438	0.2028	0.1603	0.1218	0.0954	0.07224	0.0435	0.02395	0.02004	0.02286	0.02298	0.02889	0.07525	0.2081	0.3942	0.5606	0.6815	0.7583	0.8031	0.8282	0.8419	0.8496	0.8546	0.8576	0.862	0.8658	0.8675	0.8706	0
58	Magenta_55	0	54.9	0	0	0	0	0.1603	0.1943	0.2454	0.3039	0.3491	0.3423	0.3101	0.2681	0.2242	0.1844	0.1436	0.1068	0.08207	0.06083	0.03539	0.01863	0.01531	0.01764	0.01772	0.02275	0.06462	0.1915	0.3764	0.5456	0.671	0.7515	0.7989	0.8253	0.84	0.848	0.8535	0.8566	0.8608	0.8646	0.8664	0.8699	0
59	Magenta_60	0	60	0	0	0	0	0.1513	0.1839	0.2345	0.289	0.3309	0.3238	0.291	0.2492	0.206	0.1673	0.1276	0.09276	0.06962	0.0504	0.02807	0.01429	0.01162	0.01335	0.01349	0.01779	0.05479	0.1748	0.3576	0.5295	0.6592	0.7434	0.7933	0.8211	0.8363	0.8445	0.8502	0.8533	0.8578	0.8615	0.8631	0.867	0
60	Magenta_65	0	65.1	0	0	0	0	0.1435	0.1749	0.2233	0.2756	0.3153	0.3074	0.2746	0.2334	0.1908	0.1529	0.1146	0.08136	0.05984	0.04225	0.02284	0.01124	0.009042	0.01033	0.0105	0.01405	0.04695	0.1605	0.3403	0.5134	0.646	0.7333	0.7856	0.8149	0.831	0.8398	0.8458	0.8494	0.854	0.8578	0.8598	0.8628	0
61	Magenta_70	0	70.2	0	0	0	0	0.1365	0.1653	0.212	0.2601	0.2934	0.2831	0.2503	0.2098	0.1689	0.1326	0.09673	0.06644	0.04729	0.03216	0.01643	0.007765	0.006227	0.007078	0.007046	0.009864	0.03752	0.1428	0.3206	0.4982	0.6376	0.7303	0.7862	0.8179	0.8346	0.8438	0.8494	0.8528	0.8575	0.8608	0.8623	0.8667	1
62	Magenta_75	0	74.9	0	0	0	0	0.1294	0.1574	0.204	0.2502	0.2818	0.2714	0.2388	0.1988	0.1587	0.1235	0.08909	0.06013	0.0422	0.0284	0.01424	0.00681	0.00548	0.006107	0.006083	0.008585	0.0338	0.1347	0.3103	0.4889	0.6308	0.7265	0.7845	0.8173	0.8346	0.8445	0.8498	0.8534	0.8581	0.8616	0.8631	0.8681	0
63	Magenta_80	0	80	0	0	0	0	0.1252	0.1522	0.1984	0.2428	0.2741	0.264	0.2315	0.1916	0.1523	0.1177	0.08391	0.05595	0.03868	0.02554	0.01258	0.006171	0.004948	0.00545	0.005436	0.007683	0.0312	0.1288	0.3023	0.481	0.6244	0.7215	0.7808	0.8144	0.8323	0.8422	0.848	0.8516	0.8565	0.86	0.8617	0.8665	0
64	Magenta_83	0	83.14	0	0	0	0	0.12	0.1481	0.1926	0.2368	0.267	0.2563	0.2243	0.1851	0.1463	0.1123	0.07936	0.05233	0.03581	0.02357	0.01148	0.005559	0.004601	0.004995	0.004993	0.007012	0.02902	0.1235	0.2947	0.4734	0.6175	0.7157	0.7758	0.8098	0.8277	0.8377	0.8436	0.8472	0.8518	0.8556	0.857	0.8613	0
65	Magenta_85	0	85.1	0	0	0	0	0.1202	0.1452	0.1891	0.2322	0.2628	0.2522	0.2201	0.1812	0.1427	0.1087	0.07648	0.05017	0.03416	0.02229	0.01094	0.005461	0.004468	0.004733	0.004745	0.006694	0.02779	0.1202	0.2902	0.469	0.6138	0.7132	0.7741	0.8089	0.827	0.8374	0.8432	0.8471	0.8521	0.856	0.8574	0.8615	0
66	Magenta_86	0	85.88	0	0	0	0	0.1179	0.1427	0.1863	0.2288	0.2583	0.2485	0.2166	0.1783	0.1402	0.1068	0.07487	0.04869	0.03309	0.02159	0.01053	0.005321	0.004344	0.004617	0.004628	0.006481	0.0271	0.1186	0.288	0.4669	0.6124	0.7123	0.7738	0.8087	0.8272	0.8375	0.8436	0.8477	0.8525	0.8562	0.8577	0.8616	0
67	Magenta_87	0	87.06	0	0	0	0	0.1168	0.1411	0.1845	0.2267	0.2567	0.2463	0.2145	0.1761	0.138	0.105	0.07339	0.04759	0.03221	0.02087	0.01025	0.005256	0.004375	0.004554	0.004587	0.006358	0.02639	0.1162	0.2843	0.4625	0.608	0.7084	0.7698	0.8046	0.8234	0.8335	0.8401	0.8441	0.849	0.8531	0.8548	0.8584	0
68	Magenta_88	0	87.84	0	0	0	0	0.1161	0.1411	0.1839	0.2251	0.2554	0.2452	0.2131	0.1744	0.1362	0.1033	0.07189	0.04629	0.0311	0.02012	0.009873	0.005025	0.004106	0.004332	0.004325	0.006068	0.02558	0.1146	0.2824	0.4614	0.6081	0.7093	0.7716	0.807	0.8258	0.8361	0.8428	0.8468	0.8517	0.8558	0.8573	0.8613	0
69	Magenta_89	0	89.02	0	0	0	0	0.1143	0.1401	0.1817	0.2232	0.2519	0.2412	0.2095	0.1714	0.1341	0.1012	0.07007	0.04495	0.03005	0.01931	0.009495	0.004922	0.004073	0.004212	0.004269	0.005901	0.02498	0.113	0.2802	0.4595	0.6066	0.7084	0.771	0.8066	0.8256	0.8358	0.8424	0.8465	0.8516	0.8556	0.8573	0.8613	0
70	Magenta_90	0	90.2	0	0	0	0	0.1104	0.136	0.177	0.2184	0.2477	0.2373	0.2058	0.168	0.1308	0.09848	0.06795	0.04334	0.02884	0.0184	0.009068	0.004809	0.003969	0.004072	0.004027	0.005708	0.02401	0.1103	0.2753	0.453	0.5991	0.7004	0.7628	0.7982	0.8173	0.8275	0.8342	0.8384	0.8433	0.8474	0.8487	0.8515	0
71	Magenta_91	0	90.98	0	0	0	0	0.1109	0.1363	0.1784	0.2192	0.2484	0.238	0.2059	0.1679	0.1306	0.09827	0.06759	0.04301	0.02859	0.01822	0.008936	0.004769	0.003923	0.004057	0.004035	0.005648	0.02385	0.1096	0.2751	0.4537	0.6013	0.704	0.7676	0.8036	0.8231	0.8337	0.8405	0.8448	0.8498	0.8541	0.8556	0.8593	0
72	Magenta_92	0	92.16	0	0	0	0	0.1098	0.1351	0.1773	0.2178	0.2452	0.2342	0.2023	0.1647	0.1277	0.09558	0.06552	0.04141	0.02726	0.01747	0.008579	0.004579	0.003789	0.003897	0.003959	0.005449	0.02303	0.1077	0.2725	0.4516	0.6002	0.7038	0.7678	0.804	0.8235	0.8339	0.8409	0.845	0.8497	0.8539	0.8556	0.8592	0
73	Magenta_93	0	92.94	0	0	0	0	0.1058	0.1314	0.174	0.2139	0.2428	0.2325	0.201	0.1633	0.1264	0.09418	0.06413	0.04033	0.02655	0.01683	0.008239	0.004486	0.003777	0.003808	0.003844	0.005254	0.02239	0.1059	0.2702	0.4498	0.5992	0.704	0.7688	0.8058	0.8258	0.837	0.8439	0.8483	0.8534	0.8576	0.8594	0.8633	0
74	Magenta_94	0	94.12	0	0	0	0	0.107	0.1309	0.1724	0.2124	0.2409	0.2305	0.1986	0.161	0.1243	0.09236	0.06269	0.03929	0.02578	0.01622	0.007901	0.004305	0.0038	0.003814	0.003727	0.005135	0.02189	0.1047	0.269	0.4492	0.5996	0.7053	0.771	0.8083	0.8282	0.8391	0.8459	0.8503	0.8554	0.8595	0.8615	0.8663	0
75	Magenta_95	0	94.9	0	0	0	0	0.1074	0.1315	0.1721	0.2118	0.2384	0.2277	0.1961	0.1587	0.1222	0.09066	0.06146	0.0383	0.02501	0.01584	0.007833	0.004409	0.003712	0.003742	0.003741	0.005096	0.0214	0.1031	0.2663	0.4464	0.5973	0.7034	0.7692	0.8067	0.8267	0.8376	0.8444	0.8487	0.8537	0.858	0.86	0.8648	0
76	Magenta_96	0	96.08	0	0	0	0	0.1042	0.1284	0.1682	0.2078	0.2354	0.2248	0.1936	0.1565	0.12	0.08884	0.05984	0.03708	0.0241	0.01507	0.007434	0.004289	0.003589	0.003634	0.003627	0.00498	0.02074	0.1011	0.2635	0.4433	0.5945	0.701	0.7673	0.8049	0.8253	0.8364	0.8436	0.8478	0.853	0.8571	0.859	0.8637	0
77	Magenta_97	0	96.86	0	0	0	0	0.1039	0.129	0.168	0.2057	0.2334	0.2227	0.1917	0.1547	0.1185	0.08762	0.05896	0.03645	0.02366	0.0149	0.007409	0.00419	0.003674	0.003626	0.003637	0.004925	0.02031	0.09959	0.261	0.4406	0.5925	0.6998	0.7667	0.805	0.8259	0.8373	0.8444	0.8489	0.8541	0.8587	0.8608	0.8657	0
78	Magenta_98	0	98.04	0	0	0	0	0.1027	0.1248	0.1652	0.2045	0.2322	0.2221	0.1907	0.1537	0.1172	0.08637	0.05791	0.03564	0.02308	0.01455	0.007224	0.004181	0.003534	0.003549	0.003545	0.00481	0.01987	0.09837	0.259	0.4386	0.5907	0.6987	0.7662	0.8049	0.826	0.8375	0.8448	0.8493	0.8548	0.8591	0.8613	0.866	0
79	Magenta_99	0	98.82	0	0	0	0	0.1011	0.1233	0.1642	0.2028	0.2289	0.2185	0.1874	0.1507	0.1149	0.08423	0.05635	0.03455	0.02227	0.01394	0.006955	0.004015	0.003528	0.003446	0.003446	0.004685	0.01938	0.09695	0.2573	0.4375	0.5904	0.6991	0.7671	0.8058	0.8268	0.8381	0.845	0.8494	0.8549	0.8592	0.861	0.866	0
80	Magenta_100	0	100	0	0	0	0	0.09922	0.1228	0.163	0.2009	0.2277	0.2169	0.1857	0.1492	0.1135	0.08323	0.05537	0.03377	0.0217	0.01353	0.006801	0.00411	0.003506	0.003476	0.003482	0.004634	0.01895	0.09539	0.2549	0.4348	0.5879	0.6969	0.765	0.8039	0.825	0.8363	0.8435	0.8478	0.8533	0.8575	0.8595	0.8644	0
81	Yellow_0	0	0	0	0	0	0	0.4579	0.5087	0.5745	0.708	0.839	0.8783	0.8877	0.8835	0.8764	0.8732	0.8702	0.8684	0.8672	0.8669	0.8673	0.8662	0.8666	0.867	0.8661	0.8702	0.8712	0.874	0.8769	0.881	0.8852	0.8893	0.8955	0.9009	0.9048	0.9077	0.9095	0.9109	0.9141	0.9165	0.9179	0.9203	0
82	Yellow_1	0	0	1.18	0	0	0	0.432	0.4753	0.5313	0.6461	0.7546	0.7831	0.7915	0.7864	0.7813	0.7949	0.8216	0.8415	0.85	0.8542	0.8575	0.8583	0.8598	0.8612	0.8608	0.8653	0.867	0.87	0.873	0.8771	0.8815	0.8861	0.8921	0.8974	0.9015	0.9042	0.9062	0.9074	0.9109	0.9132	0.9146	0.9172	0
83	Yellow_3	0	0	3.14	0	0	0	0.4008	0.4323	0.4681	0.5515	0.6254	0.6378	0.6444	0.6378	0.6341	0.675	0.7496	0.8039	0.8272	0.8373	0.8441	0.8473	0.8504	0.8529	0.8532	0.8581	0.8602	0.8638	0.8669	0.8706	0.8747	0.8791	0.885	0.8903	0.8938	0.8967	0.8986	0.8996	0.9028	0.9049	0.9058	0.9084	0
84	Yellow_5	0	0	5.1	0	0	0	0.3605	0.3786	0.3989	0.457	0.5069	0.5076	0.5143	0.506	0.5043	0.5678	0.6832	0.7682	0.8048	0.8211	0.8312	0.8366	0.8413	0.8448	0.8458	0.8511	0.8536	0.8575	0.8613	0.8655	0.8698	0.8746	0.8812	0.8868	0.8904	0.8932	0.8952	0.897	0.9008	0.9028	0.904	0.9067	0
85	Yellow_7	0	0	7.06	0	0	0	0.3293	0.3377	0.3461	0.3858	0.4144	0.4082	0.415	0.4059	0.406	0.4837	0.6272	0.735	0.783	0.8046	0.8177	0.8253	0.8312	0.8355	0.837	0.8428	0.8459	0.8503	0.8542	0.8584	0.8629	0.868	0.8748	0.8806	0.8846	0.8876	0.8899	0.8915	0.895	0.897	0.8982	0.901	0
86	Yellow_9	0	0	9.02	0	0	0	0.3041	0.3028	0.3019	0.3261	0.3417	0.3306	0.337	0.3281	0.3291	0.4149	0.5774	0.7032	0.7604	0.7869	0.8032	0.8126	0.8202	0.8256	0.8279	0.8339	0.8373	0.8424	0.8467	0.8511	0.8558	0.8612	0.8684	0.8744	0.8781	0.8807	0.883	0.8851	0.889	0.8914	0.8922	0.8948	0
87	Yellow_11	0	0	10.98	0	0	0	0.2758	0.2718	0.2638	0.278	0.2844	0.2692	0.2757	0.2671	0.2688	0.3599	0.536	0.6758	0.7414	0.7721	0.7908	0.8022	0.8107	0.8167	0.8192	0.8257	0.8298	0.8351	0.8394	0.8439	0.8488	0.8542	0.8613	0.8671	0.8712	0.8738	0.8759	0.8778	0.8818	0.8841	0.8856	0.8884	0
88	Yellow_13	0	0	12.94	0	0	0	0.2543	0.2434	0.2309	0.2398	0.2403	0.2251	0.2313	0.2231	0.2252	0.3174	0.5011	0.6522	0.7254	0.7604	0.7815	0.7951	0.8052	0.8123	0.8157	0.8224	0.8268	0.8326	0.8375	0.8422	0.8474	0.8536	0.8614	0.8675	0.8714	0.8746	0.8771	0.8792	0.8835	0.8862	0.8868	0.8896	0
89	Yellow_15	0	0	14.9	0	0	0	0.2363	0.2245	0.2069	0.2103	0.2071	0.1909	0.1966	0.1886	0.1909	0.2825	0.4712	0.6304	0.7093	0.7476	0.7713	0.7863	0.7978	0.8057	0.8097	0.8168	0.8214	0.8277	0.8328	0.838	0.8435	0.8503	0.8582	0.8646	0.8689	0.8717	0.8749	0.8773	0.8817	0.8845	0.8857	0.8887	0
90	Yellow_17	0	0	16.86	0	0	0	0.2203	0.2031	0.1831	0.1811	0.1745	0.1582	0.1635	0.1562	0.1588	0.2496	0.4425	0.6095	0.6942	0.7357	0.7618	0.7787	0.7914	0.8004	0.805	0.8125	0.8175	0.8241	0.8293	0.8344	0.84	0.8472	0.8552	0.8615	0.8657	0.8686	0.8717	0.8743	0.8787	0.8817	0.8829	0.8861	0
91	Yellow_20	0	0	20	0	0	0	0.1984	0.1775	0.1559	0.1497	0.1399	0.1238	0.1287	0.1221	0.125	0.2129	0.4083	0.5838	0.6755	0.7216	0.7505	0.7695	0.7838	0.7941	0.7993	0.8073	0.8127	0.8198	0.8256	0.8309	0.8369	0.8444	0.8529	0.8597	0.8641	0.8666	0.8699	0.8725	0.8771	0.8801	0.8811	0.8843	0
92	Yellow_25	0	0	25.1	0	0	0	0.1689	0.1455	0.1198	0.1092	0.09655	0.08195	0.08603	0.08118	0.084	0.1649	0.3597	0.545	0.646	0.6985	0.7321	0.7553	0.7726	0.7851	0.792	0.8011	0.8076	0.8158	0.8222	0.8274	0.8329	0.8404	0.8492	0.8557	0.8597	0.8623	0.8655	0.8682	0.8728	0.8757	0.8769	0.8799	0
93	Yellow_30	0	0	30.2	0	0	0	0.1464	0.1198	0.09476	0.08153	0.06966	0.05686	0.06019	0.05591	0.05896	0.1322	0.3227	0.5143	0.623	0.6805	0.7178	0.7437	0.7632	0.777	0.7851	0.7947	0.802	0.811	0.8179	0.8235	0.8298	0.8382	0.848	0.8553	0.8598	0.8623	0.866	0.869	0.8742	0.8775	0.8783	0.8815	0
94	Yellow_35	0	0	34.9	0	0	0	0.1277	0.1016	0.07638	0.06325	0.05129	0.04082	0.04338	0.03973	0.04288	0.1096	0.295	0.4897	0.6035	0.665	0.7053	0.7338	0.7552	0.7703	0.7793	0.7895	0.7972	0.8067	0.8139	0.8196	0.8261	0.8348	0.8448	0.8523	0.8567	0.8592	0.863	0.8663	0.8714	0.8748	0.8755	0.8789	0
95	Yellow_40	0	0	40	0	0	0	0.1142	0.08466	0.06036	0.04758	0.03734	0.02875	0.03078	0.02839	0.031	0.0903	0.2684	0.4651	0.5836	0.6488	0.692	0.7229	0.7462	0.7628	0.7727	0.7837	0.7919	0.8022	0.8099	0.8159	0.8226	0.832	0.8425	0.8503	0.8548	0.8573	0.8612	0.8647	0.8699	0.8734	0.8744	0.8775	0
96	Yellow_45	0	0	45.1	0	0	0	0.1012	0.07313	0.05015	0.03708	0.02815	0.02121	0.02242	0.02038	0.02311	0.07591	0.2467	0.4443	0.5668	0.6354	0.681	0.7142	0.739	0.7568	0.7677	0.7791	0.7882	0.7994	0.8075	0.8134	0.8201	0.8298	0.8407	0.8487	0.8532	0.8558	0.8598	0.8636	0.8691	0.8724	0.8733	0.8764	0
97	Yellow_50	0	0	50.2	0	0	0	0.08796	0.05983	0.039	0.02879	0.02089	0.01459	0.0155	0.01421	0.01669	0.06284	0.2253	0.4224	0.5487	0.6206	0.6689	0.7044	0.7311	0.7506	0.7625	0.7746	0.7845	0.7961	0.8048	0.8106	0.8175	0.8276	0.8386	0.8466	0.851	0.8534	0.8574	0.8613	0.8672	0.8707	0.8714	0.8744	0
98	Yellow_55	0	0	54.9	0	0	0	0.08116	0.05423	0.03293	0.02297	0.01602	0.01179	0.01212	0.01101	0.01325	0.05465	0.2101	0.4061	0.5344	0.6087	0.6589	0.6963	0.7244	0.7448	0.7575	0.7702	0.7805	0.7929	0.802	0.8083	0.8159	0.8266	0.8384	0.8467	0.8513	0.8537	0.8579	0.8622	0.868	0.8715	0.8725	0.8756	0
99	Yellow_60	0	0	60	0	0	0	0.0723	0.04571	0.02645	0.01805	0.01206	0.008573	0.00892	0.007923	0.01039	0.04607	0.1926	0.3871	0.5181	0.5949	0.6473	0.6867	0.7165	0.7381	0.7516	0.7649	0.7758	0.7889	0.7983	0.8046	0.8121	0.823	0.8349	0.8434	0.848	0.8504	0.8546	0.8594	0.8656	0.869	0.8694	0.8726	0
100	Yellow_65	0	0	65.1	0	0	0	0.0627	0.03953	0.02229	0.01428	0.009279	0.006801	0.007	0.006403	0.008262	0.03972	0.1786	0.3707	0.5034	0.5826	0.637	0.6779	0.7089	0.7316	0.7459	0.7598	0.7714	0.7852	0.7952	0.8019	0.8096	0.821	0.8338	0.8427	0.8474	0.85	0.8544	0.8593	0.8656	0.8693	0.8699	0.8729	0
101	Yellow_70	0	0	70.2	0	0	0	0.05181	0.03298	0.01875	0.01167	0.007734	0.005805	0.005797	0.005309	0.007051	0.03451	0.1658	0.3554	0.489	0.5698	0.6255	0.6675	0.6992	0.723	0.7383	0.753	0.7665	0.7822	0.7933	0.8004	0.8083	0.8197	0.8327	0.8421	0.8466	0.8492	0.8533	0.8582	0.8642	0.8679	0.8684	0.8712	0
102	Yellow_75	0	0	74.9	0	0	0	0.05014	0.03221	0.01734	0.01032	0.00778	0.005616	0.00542	0.005004	0.006543	0.0313	0.157	0.3441	0.4784	0.5604	0.6174	0.6606	0.6933	0.7179	0.7338	0.7487	0.7627	0.7787	0.7901	0.7971	0.8049	0.8164	0.8295	0.839	0.8434	0.8459	0.8498	0.8549	0.8611	0.8649	0.8653	0.868	1
103	Yellow_80	0	0	80	0	0	0	0.04435	0.0265	0.0143	0.00823	0.005557	0.004121	0.004065	0.00406	0.005512	0.02784	0.1479	0.3329	0.4683	0.5521	0.6108	0.6562	0.6907	0.7164	0.7335	0.7489	0.7625	0.778	0.7893	0.796	0.8036	0.8151	0.8283	0.8377	0.8419	0.8442	0.8482	0.8533	0.8593	0.8628	0.8632	0.8654	0
104	Yellow_83	0	0	83.14	0	0	0	0.04286	0.02568	0.01348	0.007467	0.005087	0.004132	0.004135	0.003908	0.005469	0.02684	0.1443	0.3279	0.4634	0.5477	0.6073	0.6538	0.6888	0.7148	0.7321	0.7479	0.7615	0.7772	0.7884	0.795	0.8026	0.814	0.8272	0.8363	0.8405	0.8428	0.8467	0.852	0.858	0.8617	0.8619	0.8643	0
105	Yellow_85	0	0	85.1	0	0	0	0.04338	0.0257	0.01341	0.007391	0.005247	0.004062	0.003973	0.004025	0.005179	0.026	0.1417	0.324	0.4593	0.5437	0.6034	0.6499	0.6853	0.7114	0.7289	0.7446	0.7583	0.7741	0.7856	0.7921	0.7997	0.8113	0.8247	0.834	0.838	0.8403	0.8444	0.8495	0.856	0.8593	0.8595	0.8613	0
106	Yellow_86	0	0	85.88	0	0	0	0.03995	0.02338	0.01255	0.007089	0.004772	0.003606	0.003743	0.003823	0.004858	0.02529	0.1394	0.3205	0.4553	0.5395	0.5994	0.6458	0.681	0.707	0.7242	0.7396	0.7531	0.7691	0.7805	0.7877	0.7956	0.8078	0.8213	0.8306	0.8348	0.8368	0.8415	0.8471	0.8528	0.8569	0.8572	0.8584	0
107	Yellow_87	0	0	87.06	0	0	0	0.03715	0.02268	0.01187	0.006856	0.004247	0.003581	0.003801	0.003721	0.004948	0.02464	0.1374	0.3178	0.4526	0.5368	0.5967	0.6434	0.6788	0.705	0.7222	0.7379	0.7517	0.7679	0.7792	0.7861	0.7939	0.8058	0.8191	0.8283	0.8326	0.8344	0.8389	0.8445	0.8503	0.8544	0.8548	0.8558	0
108	Yellow_88	0	0	87.84	0	0	0	0.03789	0.02209	0.0114	0.006886	0.004718	0.003725	0.003701	0.003681	0.004773	0.02434	0.1364	0.3177	0.4534	0.5385	0.5989	0.6457	0.6813	0.7076	0.725	0.7406	0.7543	0.7706	0.7821	0.7894	0.7979	0.8105	0.8245	0.8341	0.8386	0.841	0.8456	0.8515	0.858	0.8624	0.8627	0.8644	0
109	Yellow_89	0	0	89.02	0	0	0	0.03843	0.02282	0.01136	0.006379	0.004428	0.003828	0.003578	0.003388	0.004677	0.02407	0.136	0.3167	0.4526	0.5376	0.598	0.645	0.6807	0.7072	0.7246	0.7403	0.7542	0.7705	0.782	0.7891	0.7971	0.8095	0.8233	0.8329	0.8374	0.8396	0.844	0.8496	0.8559	0.86	0.8605	0.8625	0
110	Yellow_90	0	0	90.2	0	0	0	0.0363	0.02137	0.01162	0.006871	0.004512	0.003828	0.003651	0.00353	0.004953	0.0233	0.1334	0.3138	0.4502	0.536	0.5971	0.6445	0.6807	0.7075	0.7253	0.7412	0.7552	0.7716	0.7833	0.7906	0.7992	0.8119	0.8261	0.8359	0.8405	0.8427	0.8472	0.853	0.8595	0.8637	0.8645	0.8664	0
111	Yellow_91	0	0	90.98	0	0	0	0.03915	0.02275	0.01147	0.006602	0.004568	0.004184	0.003853	0.003658	0.004888	0.02312	0.1325	0.3124	0.4488	0.5346	0.5959	0.6434	0.6796	0.7067	0.7245	0.7404	0.7546	0.7711	0.7828	0.7901	0.7984	0.8111	0.8252	0.8349	0.8395	0.8418	0.8465	0.8522	0.8587	0.8628	0.8634	0.8652	0
112	Yellow_92	0	0	92.16	0	0	0	0.0379	0.02086	0.01042	0.005849	0.004316	0.003648	0.003396	0.003256	0.004564	0.02188	0.1294	0.3084	0.445	0.5313	0.593	0.6409	0.6773	0.7043	0.7221	0.7381	0.7523	0.7689	0.7807	0.7881	0.7967	0.8096	0.824	0.834	0.8387	0.841	0.8459	0.8518	0.8583	0.8625	0.863	0.8648	0
113	Yellow_93	0	0	92.94	0	0	0	0.03591	0.02046	0.01078	0.005421	0.004421	0.003766	0.003381	0.00347	0.004821	0.02198	0.1285	0.3066	0.4429	0.529	0.5907	0.6387	0.6752	0.7024	0.7203	0.7362	0.7506	0.767	0.7789	0.786	0.7945	0.8075	0.8219	0.8318	0.8363	0.8387	0.8437	0.8494	0.8558	0.8604	0.8608	0.8623	0
114	Yellow_94	0	0	94.12	0	0	0	0.03454	0.01843	0.009977	0.005813	0.004037	0.00357	0.003172	0.003477	0.004393	0.02107	0.1264	0.304	0.4404	0.527	0.5888	0.637	0.6738	0.701	0.7191	0.7352	0.7493	0.7659	0.7778	0.7854	0.7942	0.8075	0.822	0.8323	0.8371	0.8396	0.8448	0.8509	0.8575	0.8619	0.8626	0.8638	0
115	Yellow_95	0	0	94.9	0	0	0	0.0336	0.01909	0.01017	0.006187	0.003957	0.003351	0.003165	0.003199	0.004529	0.02077	0.1251	0.3027	0.4397	0.5267	0.5893	0.6379	0.6751	0.7029	0.7212	0.7375	0.7519	0.7687	0.7808	0.7882	0.7969	0.8102	0.8249	0.835	0.8397	0.8419	0.8471	0.8529	0.8595	0.8639	0.8645	0.8664	0
