CGATS.17
ORIGINATOR	"ColorGATE"
FILE_DESCRIPTOR	"CMYKOG Advanced Linearization Target"
CREATED	"2022-10-24T09:33:27+02:00"
LGOROWLENGTH	20
KEYWORD	"INFO"
INFO	"Linearization target with an accurate characteristic in the ranges 0..30% and 80..100%."
INSTRUMENTATION	"X-Rite i1Pro2"
KEYWORD	"ILLUMINATION_NAME"
ILLUMINATION_NAME	"D50"
KEYWORD	"OBSERVER_ANGLE"
OBSERVER_ANGLE	"2"
KEYWORD	"MEASURE_CONDITION"
MEASURE_CONDITION	"M0"
NUMBER_OF_FIELDS	45
NUMBER_OF_SETS	240
BEGIN_DATA_FORMAT
SAMPLE_ID	SAMPLE_NAME	PC6_1	PC6_2	PC6_3	PC6_4	PC6_5	PC6_6	SPECTRAL_NM_380	SPECTRAL_NM_390	SPECTRAL_NM_400	SPECTRAL_NM_410	SPECTRAL_NM_420	SPECTRAL_NM_430	SPECTRAL_NM_440	SPECTRAL_NM_450	SPECTRAL_NM_460	SPECTRAL_NM_470	SPECTRAL_NM_480	SPECTRAL_NM_490	SPECTRAL_NM_500	SPECTRAL_NM_510	SPECTRAL_NM_520	SPECTRAL_NM_530	SPECTRAL_NM_540	SPECTRAL_NM_550	SPECTRAL_NM_560	SPECTRAL_NM_570	SPECTRAL_NM_580	SPECTRAL_NM_590	SPECTRAL_NM_600	SPECTRAL_NM_610	SPECTRAL_NM_620	SPECTRAL_NM_630	SPECTRAL_NM_640	SPECTRAL_NM_650	SPECTRAL_NM_660	SPECTRAL_NM_670	SPECTRAL_NM_680	SPECTRAL_NM_690	SPECTRAL_NM_700	SPECTRAL_NM_710	SPECTRAL_NM_720	SPECTRAL_NM_730	IGNORESAMPLE
END_DATA_FORMAT
BEGIN_DATA
12	Cyan_25	25.1	0	0	0	0	0	0.1128	0.1852	0.2734	0.3831	0.4813	0.5525	0.6282	0.6774	0.7002	0.711	0.7047	0.685	0.6517	0.6008	0.5303	0.4467	0.3613	0.2763	0.1994	0.1451	0.1127	0.09431	0.081	0.0731	0.0713	0.07309	0.07738	0.08566	0.09617	0.1015	0.09931	0.09347	0.08542	0.08127	0.08926	0.1121	0
13	Cyan_30	30.2	0	0	0	0	0	0.08924	0.1582	0.2431	0.3496	0.446	0.5201	0.6013	0.6559	0.6817	0.6936	0.6861	0.6637	0.6266	0.5703	0.4943	0.4061	0.3182	0.233	0.1588	0.1087	0.08036	0.06497	0.05441	0.04818	0.0468	0.04823	0.05154	0.05822	0.06696	0.0714	0.06956	0.06469	0.05839	0.05509	0.06194	0.0818	0
14	Cyan_35	34.9	0	0	0	0	0	0.07574	0.1413	0.2254	0.3288	0.4218	0.4969	0.582	0.6402	0.6683	0.681	0.6726	0.6483	0.6084	0.5487	0.4691	0.3783	0.2891	0.2046	0.133	0.08648	0.06129	0.0482	0.03933	0.03434	0.0332	0.03436	0.03694	0.04237	0.04964	0.05355	0.05184	0.04773	0.04248	0.0403	0.04603	0.06282	0
15	Cyan_40	40	0	0	0	0	0	0.06007	0.1222	0.2032	0.3036	0.3944	0.4703	0.5582	0.6198	0.6501	0.6643	0.6558	0.6301	0.5878	0.5252	0.4425	0.3498	0.2601	0.1769	0.1088	0.06644	0.04477	0.03397	0.02699	0.02321	0.02242	0.0233	0.02522	0.02929	0.03493	0.03811	0.03679	0.03337	0.02938	0.02755	0.03247	0.04682	0
16	Cyan_45	45.1	0	0	0	0	0	0.04991	0.108	0.1863	0.2836	0.3703	0.4471	0.5385	0.6037	0.636	0.6505	0.6413	0.6137	0.5688	0.5034	0.418	0.3239	0.2345	0.1535	0.08945	0.05145	0.03308	0.02446	0.01915	0.01632	0.01572	0.01637	0.01774	0.02065	0.02513	0.02763	0.02649	0.02393	0.0208	0.01965	0.02375	0.03539	0
17	Cyan_50	50.2	0	0	0	0	0	0.04126	0.09543	0.1722	0.2669	0.3521	0.4277	0.521	0.5883	0.6226	0.6383	0.6285	0.5998	0.5534	0.4859	0.3989	0.3041	0.2152	0.1361	0.07566	0.04119	0.02532	0.0183	0.01413	0.01196	0.01163	0.01208	0.01302	0.01534	0.01891	0.02086	0.02	0.01797	0.01552	0.01478	0.01814	0.02787	0
18	Cyan_55	54.9	0	0	0	0	0	0.03665	0.08625	0.159	0.2493	0.3316	0.4076	0.503	0.5728	0.6086	0.6249	0.615	0.5852	0.5369	0.4674	0.3787	0.2833	0.1952	0.1188	0.06237	0.0319	0.0188	0.01322	0.01017	0.008714	0.008406	0.008802	0.009423	0.01096	0.01349	0.01502	0.01435	0.01273	0.01111	0.01098	0.01366	0.02145	0
19	Cyan_60	60	0	0	0	0	0	0.03134	0.07677	0.1474	0.2355	0.3162	0.3919	0.4889	0.5603	0.5977	0.6146	0.6042	0.5734	0.5238	0.4528	0.3632	0.2677	0.1805	0.1064	0.05336	0.026	0.01484	0.01042	0.008112	0.007012	0.006726	0.007071	0.007431	0.008611	0.01046	0.01186	0.01116	0.009888	0.008731	0.008741	0.01093	0.01774	0
20	Cyan_65	65.1	0	0	0	0	0	0.02718	0.06911	0.1355	0.2202	0.2981	0.3736	0.4721	0.5454	0.5837	0.6012	0.5901	0.5577	0.5064	0.4339	0.3434	0.2483	0.163	0.09226	0.0437	0.02003	0.01113	0.007795	0.00622	0.005547	0.005365	0.005529	0.00578	0.006393	0.007776	0.008739	0.008208	0.007283	0.006623	0.006976	0.008767	0.01395	0
21	Cyan_70	70.2	0	0	0	0	0	0.02729	0.06292	0.1274	0.2077	0.2825	0.3565	0.4554	0.5305	0.5699	0.588	0.5769	0.5439	0.4915	0.4179	0.3265	0.2317	0.1481	0.0808	0.03644	0.01627	0.009091	0.006632	0.005558	0.005097	0.004965	0.004995	0.005063	0.005547	0.006602	0.007002	0.006746	0.006365	0.005894	0.00639	0.007981	0.01228	0
22	Cyan_75	74.9	0	0	0	0	0	0.02324	0.05667	0.1166	0.194	0.2676	0.3415	0.4413	0.518	0.559	0.5775	0.5657	0.5316	0.4777	0.4029	0.311	0.2168	0.1348	0.07065	0.03012	0.01286	0.007208	0.005433	0.004771	0.004461	0.004446	0.004443	0.004357	0.004642	0.005321	0.005594	0.005411	0.005013	0.004956	0.005619	0.007181	0.01062	0
23	Cyan_80	80	0	0	0	0	0	0.02016	0.05069	0.1109	0.1861	0.2578	0.331	0.4315	0.509	0.5505	0.5697	0.5579	0.5232	0.4689	0.3936	0.3015	0.2078	0.127	0.06476	0.0266	0.011	0.006145	0.004783	0.004282	0.004201	0.004112	0.004069	0.00393	0.00408	0.004496	0.004602	0.004582	0.004496	0.004439	0.005068	0.006415	0.00922	0
24	Cyan_83	83.14	0	0	0	0	0	0.01939	0.04815	0.1067	0.1811	0.2523	0.3259	0.4264	0.5047	0.5464	0.5656	0.5537	0.5184	0.4637	0.3879	0.2957	0.2024	0.1225	0.06149	0.02479	0.01016	0.005809	0.004516	0.004219	0.004028	0.004006	0.003905	0.003774	0.003853	0.004286	0.004358	0.004234	0.004155	0.004095	0.004948	0.006292	0.008776	0
25	Cyan_85	85.1	0	0	0	0	0	0.01825	0.047	0.1034	0.1762	0.2462	0.3188	0.4192	0.4974	0.5397	0.5592	0.5473	0.5122	0.4573	0.3817	0.29	0.1973	0.1182	0.05854	0.02316	0.009461	0.005495	0.004362	0.004116	0.003993	0.003976	0.003879	0.003769	0.003824	0.004165	0.004327	0.004286	0.004178	0.004139	0.004991	0.00618	0.008579	0
26	Cyan_86	85.88	0	0	0	0	0	0.01832	0.04754	0.1035	0.1764	0.2467	0.3196	0.4203	0.4982	0.5405	0.5599	0.548	0.5128	0.4578	0.3821	0.2902	0.1974	0.1184	0.05869	0.0233	0.009584	0.005637	0.004466	0.004161	0.004074	0.004077	0.003959	0.003819	0.003949	0.004263	0.004407	0.004183	0.004068	0.004032	0.004841	0.006183	0.008454	0
27	Cyan_87	87.06	0	0	0	0	0	0.01846	0.04543	0.1005	0.1721	0.242	0.3147	0.4154	0.4937	0.5361	0.5557	0.5437	0.5081	0.4531	0.3772	0.2853	0.193	0.1145	0.05596	0.02175	0.008727	0.005184	0.004234	0.004016	0.003984	0.003904	0.003796	0.003633	0.003623	0.003841	0.003995	0.003901	0.003722	0.004006	0.004771	0.005918	0.008164	0
28	Cyan_88	87.84	0	0	0	0	0	0.01804	0.04649	0.102	0.1733	0.2423	0.3155	0.416	0.4943	0.5369	0.557	0.5452	0.51	0.4549	0.379	0.287	0.1943	0.1157	0.05666	0.02205	0.008863	0.005176	0.004181	0.003935	0.00384	0.003884	0.003745	0.003601	0.003601	0.003881	0.003949	0.003869	0.003782	0.003779	0.004705	0.005991	0.008376	0
29	Cyan_89	89.02	0	0	0	0	0	0.01742	0.04415	0.09842	0.1693	0.2383	0.3102	0.411	0.4899	0.5326	0.5527	0.5406	0.5052	0.4498	0.3737	0.2819	0.1896	0.1118	0.054	0.02064	0.008268	0.004989	0.004127	0.003864	0.003857	0.003827	0.003713	0.003575	0.003506	0.003692	0.003717	0.003688	0.003703	0.003778	0.004811	0.005855	0.007677	0
30	Cyan_90	90.2	0	0	0	0	0	0.01814	0.04443	0.09917	0.1695	0.2371	0.3092	0.4097	0.4882	0.531	0.551	0.5389	0.5033	0.4478	0.3718	0.2801	0.1881	0.1106	0.05328	0.02031	0.008111	0.004952	0.004115	0.003962	0.003878	0.003859	0.003714	0.00361	0.003575	0.003744	0.003837	0.003673	0.003662	0.003754	0.00458	0.005781	0.008035	0
